Guid,Name,Type,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,Phone,Fax,Website,Industry,AnnualRevenue,NumberOfEmployees,Description,Jigsaw,AccountSource,SicDesc,Test__Street__s,Test__City__s,Test__PostalCode__s,Test__StateCode__s,Test__CountryCode__s,Test__Latitude__s,Test__Longitude__s,Test__GeocodeAccuracy__s,SBQQ__AssetQuantitiesCombined__c,SBQQ__CoTermedContractsCombined__c,SBQQ__ContractCoTermination__c,SBQQ__DefaultOpportunity__c,SBQQ__IgnoreParentContractedPrices__c,SBQQ__PreserveBundle__c,SBQQ__PriceHoldEnd__c,SBQQ__RenewalModel__c,SBQQ__RenewalPricingMethod__c,SBQQ__TaxExempt__c,SBQQ__CoTerminationEvent__c
8117cdb7-fa6e-4b4b-a8a4-80dbe79da94e,Pre_Account_$#]+>_Post,,,,,,,,,,,,,,,,,,,1119948348,,ahull.salesforce.com,Banking,,536,,,,,,,,,,,,,false,false,Never,,false,true,,,Same,No,
a8ce3231-2647-4a5b-bded-2c84b101df46,Pre_Account_>;;;;_Post,,,,,,,,,,,,,,,,,,,1110854881,,bvmlc.salesforce.com,Banking,,371,,,,,,,,,,,,,false,false,Never,,false,true,,,Same,No,
ef43d47a-a714-4f3c-8a41-c59e8ff4679b,Pre_Account_'^:&[,,,,,,,,,,,,,,,,,,,1112238323,,kvlmb.salesforce.com,Banking,,820,,,,,,,,,,,,,false,false,Never,,false,true,,,Same,No,
7c55b0d0-a97e-4ab2-b167-c25a50c498d7,Pre_Account_{=`>~,,,,,,,,,,,,,,,,,,,1112421491,,uupuw.salesforce.com,Banking,,54,,,,,,,,,,,,,false,false,Never,,false,true,,,Same,No,
b353cf0b-700c-4a51-a4a9-7f4a5e189a4f,Account_/®$<:,,,,,,,,,,,,,,,,,,,(606) 910-6166 x3748,,ubnrt.salesforce.com,Banking,,246,,,,,,,,,,,,,false,false,Never,,false,true,,,Same,No,
3807e3cb-cb17-4db3-abd3-7a311d789067,Account_.?(|{,,,,,,,,,,,,,,,,,,,(386) 817-4543,,nicqc.salesforce.com,Banking,,699,,,,,,,,,,,,,false,false,Never,,false,true,,,Same,No,
ff56d2f6-7f7e-41b6-b301-1bc2ee99337b,testFixed *&%$,,,,,,,,,,,,,,,,,,,1110929114,,ribya.salesforce.com,Banking,,737,,,,,,,,,,,,,false,false,Never,,false,true,,,Same,No,
a6235f10-e968-493a-8f73-f7e8ce43e365,testFixed *&%$,,,,,,,,,,,,,,,,,,,1118597692,,wvfju.salesforce.com,Banking,,113,,,,,,,,,,,,,false,false,Never,,false,true,,,Same,No,
934062cb-42c3-45bb-a833-a0fdb950b483,Account_{$)%#testPostfix,,,,,,,,,,,,,,,,,,,1111529947,,uijdq.salesforce.com,Banking,,139,,,,,,,,,,,,,false,false,Never,,false,true,,,Same,No,
8996ad28-e720-4930-a7c9-8943fafac9ae,Account_@®&<`testPostfix,,,,,,,,,,,,,,,,,,,1117615746,,mgndy.salesforce.com,Banking,,578,,,,,,,,,,,,,false,false,Never,,false,true,,,Same,No,
fbb5e477-3135-4806-9beb-78095d8cb92c,lscng3WGV4rmv,,,,,,,,,,,,,,,,,,,1116561916,,nzdrf.salesforce.com,Banking,,776,,,,,,,,,,,,,false,false,Never,,false,true,,,Same,No,
30c88638-94ac-4afe-9e77-d66757bfdec0,Dt2syRcZLU82Y,,,,,,,,,,,,,,,,,,,1118163343,,xlqls.salesforce.com,Banking,,364,,,,,,,,,,,,,false,false,Never,,false,true,,,Same,No,
ee0a7d04-5009-4b84-8291-ff669fbf834a,Account_]%`}`,,,,,,,,,,,,,,,,,,,,,dxtcx.salesforce.com,Banking,,948,,,,,,,,,,,,,false,false,Never,,false,true,,,Same,No,
8d4c6130-a0d4-4a4c-a710-3df9286fdfd2,Account_[`!%%,,,,,,,,,,,,,,,,,,,,,beycw.salesforce.com,Banking,,416,,,,,,,,,,,,,false,false,Never,,false,true,,,Same,No,
